trace_id,business_objective,business_requirement,solution_requirement,user_story,business_rule,risk_id,control_id,uat_test_case,coverage_status
RT-001,BO-001,BRQ-001,FR-001|FR-002|DR-001,US-001,BR-001|BR-002,R-001,C-001,TC-001,Covered
RT-002,BO-001,BRQ-001,FR-003|DR-002:DR-008,US-002,BR-003:BR-006,R-002,C-002,TC-002,Covered
RT-003,BO-002,BRQ-002,FR-006|DR-011,US-003,BR-039:BR-043,R-003,C-003,TC-006,Covered
RT-004,BO-002,BRQ-002,FR-017|CR-006,US-011,BR-040|BR-041,R-003,C-003,TC-007,Covered
RT-005,BO-003,BRQ-003,FR-004|DR-008,US-002,BR-004|BR-075:BR-078,R-014,C-014,TC-003,Covered
RT-006,BO-003,BRQ-003,FR-005|DR-009,US-004,BR-007:BR-016,R-012|R-013,C-012|C-013,TC-004|TC-005|TC-027,Covered
RT-007,BO-003,BRQ-003,FR-007|DR-010,US-013,BR-017:BR-024,R-004,C-004,TC-008|TC-028,Covered
RT-008,BO-004,BRQ-004,FR-008|DR-013,US-006,BR-025|BR-026|BR-031|BR-032,R-007,C-007,TC-010,Covered
RT-009,BO-004,BRQ-004,FR-009|DR-014,US-007,BR-027:BR-030,R-007,C-007,TC-011,Covered
RT-010,BO-004,BRQ-004,FR-010|DR-015,US-014,BR-033:BR-038,R-008,C-008,TC-012|TC-013,Covered
RT-011,BO-005,BRQ-005,FR-012|DR-016,US-008,BR-045:BR-051,R-009|R-016,C-009|C-016,TC-014,Covered
RT-012,BO-005,BRQ-005,FR-018|CR-003:CR-005,US-008|US-012,BR-045:BR-050,R-005:R-009,C-005:C-009,TC-014|TC-023,Covered
RT-013,BO-006,BRQ-006,FR-011|DR-017,US-005,BR-043|BR-054|BR-062,R-010,C-010,TC-015|TC-016,Covered
RT-014,BO-006,BRQ-006,FR-013|DR-018|DR-019,US-009,BR-052:BR-058,R-010|R-011,C-010|C-011,TC-017|TC-018,Covered
RT-015,BO-006,BRQ-006,FR-016|CR-007|CR-008,US-005,BR-059:BR-065,R-015,C-015,TC-019,Covered
RT-016,BO-007,BRQ-007,RR-001:RR-004,US-010|US-012,BR-066:BR-069,R-017,C-017,TC-021|TC-022|TC-025,Covered
RT-017,BO-007,BRQ-007,RR-005|RR-006,US-012,BR-070|BR-071,R-017,C-017,TC-025,Covered
RT-018,BO-007,BRQ-007,RR-007,US-003|US-011,BR-072,R-003|R-017,C-003|C-017,TC-024,Covered
RT-019,BO-007,BRQ-007,RR-008|DR-018|DR-020,US-009|US-012,BR-057|BR-073,R-011|R-017,C-011|C-017,TC-025,Covered
RT-020,BO-007,BRQ-007,RR-009,US-012,BR-074,R-017,C-017,TC-025,Covered
RT-021,BO-008,BRQ-001|BRQ-007,NFR-004|NFR-005,US-010|US-012,BR-066:BR-074,R-017,C-017,TC-020|TC-030,Partially Covered
RT-022,BO-009,BRQ-003,DQ-001:DQ-012,US-001|US-002|US-009,BR-001:BR-006|BR-052:BR-058,R-002|R-019,C-002|C-019,TC-002|TC-027|TC-028|TC-029,Covered
RT-023,BO-010,BRQ-005|BRQ-006,CR-001:CR-008,US-005|US-008|US-009|US-012,BR-045:BR-065,R-009:R-019,C-009:C-019,TC-014:TC-019|TC-026,Covered